indicator_id,조사연도,주기,조사명,학교급,대분류코드,대분류,소주제코드,소주제,응답주체,지표명,통계유형,시계열비교가능,응답수,결측수,평균,표준편차,중앙값,백분위25,백분위75,절사평균,환산100,상위2선지비율,긍정응답률
ST_MOTIV_03,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 3)나는 부모님이 공부하라고 시키기 때문에 공부한다",likert,Y,5173,0,2.1724,1.1344,2.0,1.0,3.0,,29.31,14.4,
ST_MOTIV_04,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,8884,0,1.7396,0.934,1.0,1.0,2.0,,18.49,5.56,
ST_MOTIV_04,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0201A,학습동기(외재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 4)나는 선생님이 공부하라고 시키기 때문에 공부한다",likert,Y,5173,0,1.9704,1.0528,2.0,1.0,3.0,,24.26,9.9,
ST_MOTIV_05,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,8884,0,2.585,1.1139,3.0,2.0,3.0,,39.62,20.0,
ST_MOTIV_05,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 5)나는 지식을 쌓는 것이 즐거우므로 공부한다",likert,Y,5173,0,2.6172,1.1075,3.0,2.0,3.0,,40.43,19.64,
ST_MOTIV_06,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,8884,0,2.3341,1.105,2.0,1.0,3.0,,33.35,14.48,
ST_MOTIV_06,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 6)나는 공부하는 것이 재미있기 때문에 공부한다",likert,Y,5173,0,2.3837,1.1111,2.0,1.0,3.0,,34.59,14.83,
ST_MOTIV_07,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,8884,0,2.5191,1.208,2.0,1.0,3.0,,37.98,22.3,
ST_MOTIV_07,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 7)나는 어려운 도전들로부터 기쁨을 얻기 때문에 공부한다",likert,Y,5173,0,2.5966,1.1813,3.0,2.0,3.0,,39.91,22.66,
ST_MOTIV_08,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,8884,0,2.4116,1.1408,2.0,1.0,3.0,,35.29,17.18,
ST_MOTIV_08,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0201B,학습동기(내재적),학생,"학습동기(1~4 외재적, 5~8 내재적) - 8)나는 생각하는 것을 좋아하기 때문에 공부한다",likert,Y,5173,0,2.502,1.1144,2.0,2.0,3.0,,37.55,17.49,
ST_STRATEGY_01,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,8884,0,2.977,1.1069,3.0,2.0,4.0,,49.43,33.41,
ST_STRATEGY_01,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 1)다른 과목에서 이미 배운 것과 새로 배우는 내용을 연결하려고 한다",likert,Y,5173,0,3.1315,1.0721,3.0,3.0,4.0,,53.29,37.64,
ST_STRATEGY_02,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,8884,0,2.9587,1.1723,3.0,2.0,4.0,,48.97,35.4,
ST_STRATEGY_02,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 2)배우는 내용을 어떻게 실생활에서 사용할 수 있을지 생각해 본다",likert,Y,5173,0,2.9532,1.1268,3.0,2.0,4.0,,48.83,32.44,
ST_STRATEGY_03,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,8884,0,3.5734,1.1542,4.0,3.0,4.0,,64.33,60.29,
ST_STRATEGY_03,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 3)내가 이미 알고 있는 것과 연결시킬 때 공부가 더 잘 된다",likert,Y,5173,0,3.5683,1.1191,4.0,3.0,4.0,,64.21,59.42,
ST_STRATEGY_04,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,8884,0,3.0844,1.1322,3.0,2.0,4.0,,52.11,38.17,
ST_STRATEGY_04,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0202A,학습전략(정교화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 4)공부할 내용을 내가 이미 알고 있는 것과 어떻게 연결할지 생각해 본다",likert,Y,5173,0,3.1342,1.1009,3.0,2.0,4.0,,53.35,38.45,
ST_STRATEGY_05,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,8884,0,2.8949,1.2237,3.0,2.0,4.0,,47.37,32.13,
ST_STRATEGY_05,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 5)수업 시간에 필기한 노트를 검토하고 중요한 내용을 요약 및 정리한다",likert,Y,5173,0,2.9981,1.1669,3.0,2.0,4.0,,49.95,34.27,
ST_STRATEGY_06,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,8884,0,3.1986,1.21,3.0,2.0,4.0,,54.96,44.55,
ST_STRATEGY_06,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 6)공부한 내용은 내 방식대로 정리해 놓는다",likert,Y,5173,0,3.2579,1.157,3.0,3.0,4.0,,56.45,45.91,
ST_STRATEGY_07,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 7)중요한 내용은 따로 정리한다",likert,Y,8884,0,3.2436,1.1884,3.0,2.0,4.0,,56.09,45.68,
ST_STRATEGY_07,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 7)중요한 내용은 따로 정리한다",likert,Y,5173,0,3.3018,1.1343,3.0,3.0,4.0,,57.54,47.83,
ST_STRATEGY_08,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 8)공부할 때 개념들을 모아서 나름대로 관계를 정리해 본다",likert,Y,8884,0,2.9837,1.1789,3.0,2.0,4.0,,49.59,34.74,
ST_STRATEGY_08,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0202B,학습전략(조직화),학생,"학습전략(1~4 정교화, 5~8 조직화) - 8)공부할 때 개념들을 모아서 나름대로 관계를 정리해 본다",likert,Y,5173,0,3.0342,1.1008,3.0,2.0,4.0,,50.86,34.91,
ST_SDL_01,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,"자기주도학습 - 1)나는 알고 싶은 것이 있을 때, 그것을 어떻게 배워야 할지 알 수 있다",likert,Y,8884,0,3.3112,1.0067,3.0,3.0,4.0,,57.78,43.88,
ST_SDL_01,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,"자기주도학습 - 1)나는 알고 싶은 것이 있을 때, 그것을 어떻게 배워야 할지 알 수 있다",likert,Y,5173,0,3.3313,0.992,3.0,3.0,4.0,,58.28,44.27,
ST_SDL_02,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,자기주도학습 - 2)내가 알고 싶은 정보를 찾는 방법을 알고 있다,likert,Y,8884,0,3.6888,0.9663,4.0,3.0,4.0,,67.22,63.73,
ST_SDL_02,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,자기주도학습 - 2)내가 알고 싶은 정보를 찾는 방법을 알고 있다,likert,Y,5173,0,3.6797,0.9769,4.0,3.0,4.0,,66.99,63.72,
ST_SDL_03,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,자기주도학습 - 3)나는 사물에 관해 호기심을 갖고 있다,likert,Y,8884,0,3.3018,1.0584,3.0,3.0,4.0,,57.54,44.39,
ST_SDL_03,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,자기주도학습 - 3)나는 사물에 관해 호기심을 갖고 있다,likert,Y,5173,0,3.2126,1.0417,3.0,3.0,4.0,,55.32,39.22,
ST_SDL_04,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,자기주도학습 - 4)나는 어떤 일을 해내는 특별한 방법을 잘 생각해 낸다,likert,Y,8884,0,3.2118,1.0142,3.0,3.0,4.0,,55.3,38.18,
ST_SDL_04,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0203A,자기주도학습(주도성·창의성),학생,자기주도학습 - 4)나는 어떤 일을 해내는 특별한 방법을 잘 생각해 낸다,likert,Y,5173,0,3.203,1.012,3.0,3.0,4.0,,55.07,37.15,
ST_SDL_05,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,자기주도학습 - 5)내가 무엇을 배우고 싶은지를 안다,likert,Y,8884,0,3.5429,1.157,4.0,3.0,4.0,,63.57,55.36,
ST_SDL_05,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,자기주도학습 - 5)내가 무엇을 배우고 싶은지를 안다,likert,Y,5173,0,3.4493,1.1346,4.0,3.0,4.0,,61.23,52.17,
ST_SDL_06,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,자기주도학습 - 6)내 공부의 최종적인 책임은 내가 진다,likert,Y,8884,0,3.885,1.0012,4.0,3.0,5.0,,72.12,69.27,
ST_SDL_06,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,자기주도학습 - 6)내 공부의 최종적인 책임은 내가 진다,likert,Y,5173,0,3.866,0.9821,4.0,3.0,5.0,,71.65,69.48,
ST_SDL_07,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,자기주도학습 - 7)지금 공부가 잘 되고 있는지 아닌지를 판단할 수 있다,likert,Y,8884,0,3.6387,1.0139,4.0,3.0,4.0,,65.97,59.69,
ST_SDL_07,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,자기주도학습 - 7)지금 공부가 잘 되고 있는지 아닌지를 판단할 수 있다,likert,Y,5173,0,3.4786,1.035,4.0,3.0,4.0,,61.97,52.87,
ST_SDL_08,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,자기주도학습 - 8)지금 공부하는 내용 중 부족한 부분을 언제 보충해야 할지 알고 있다,likert,Y,8884,0,3.3745,1.0528,3.0,3.0,4.0,,59.36,47.26,
ST_SDL_08,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,자기주도학습 - 8)지금 공부하는 내용 중 부족한 부분을 언제 보충해야 할지 알고 있다,likert,Y,5173,0,3.3279,1.0407,3.0,3.0,4.0,,58.2,45.81,
ST_SDL_09,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,자기주도학습 - 9)항상 새로운 것을 배우는 사람을 존경한다,likert,Y,8884,0,3.7695,1.1217,4.0,3.0,5.0,,69.24,62.37,
ST_SDL_09,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0203B,자기주도학습(자기이해),학생,자기주도학습 - 9)항상 새로운 것을 배우는 사람을 존경한다,likert,Y,5173,0,3.8096,1.0723,4.0,3.0,5.0,,70.24,65.63,
ST_STRESS_01,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,학업 스트레스 - 1)좋은 성적을 위해 공부를 열심히 하지 않으면 불안하다,likert,Y,8884,0,3.1398,1.2504,3.0,2.0,4.0,,53.5,42.93,
ST_STRESS_01,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,학업 스트레스 - 1)좋은 성적을 위해 공부를 열심히 하지 않으면 불안하다,likert,Y,5173,0,3.1007,1.2725,3.0,2.0,4.0,,52.52,42.68,
ST_STRESS_02,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,"학업 스트레스 - 2)사교육(과외, 학원 등)을 받지 않으면 불안하다",likert,Y,8884,0,2.8047,1.2662,3.0,2.0,4.0,,45.12,33.63,
ST_STRESS_02,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,"학업 스트레스 - 2)사교육(과외, 학원 등)을 받지 않으면 불안하다",likert,Y,5173,0,2.8042,1.2583,3.0,2.0,4.0,,45.1,33.23,
ST_STRESS_03,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,학업 스트레스 - 3)원하는 학교에 진학해야 한다는 정신적 부담이 크다,likert,Y,8884,0,2.9006,1.282,3.0,2.0,4.0,,47.52,33.68,
ST_STRESS_03,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,학업 스트레스 - 3)원하는 학교에 진학해야 한다는 정신적 부담이 크다,likert,Y,5173,0,2.8848,1.2689,3.0,2.0,4.0,,47.12,33.77,
ST_STRESS_04,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,학업 스트레스 - 4)다른 학생들과 학업 성적과 관련하여 경쟁의식을 느낀다,likert,Y,8884,0,2.9588,1.2835,3.0,2.0,4.0,,48.97,36.31,
ST_STRESS_04,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0204,학업스트레스,학생,학업 스트레스 - 4)다른 학생들과 학업 성적과 관련하여 경쟁의식을 느낀다,likert,Y,5173,0,3.0186,1.3052,3.0,2.0,4.0,,50.46,40.02,
ST_GRADE_SELF_01,2021,1주기,경기학교교육실태조사,중학교,C02,학업,S0205,학업성취(주관),학생,현재성적 - 현재 성적,likert,조건부,8884,0,3.1703,1.0585,3.0,2.0,4.0,,54.26,37.07,
ST_GRADE_SELF_01,2025,2주기,경기학교교육실태조사,중학교,C02,학업,S0205,학업성취(주관),학생,현재성적 - 현재 성적,likert,조건부,5173,0,3.2333,1.0607,3.0,3.0,4.0,,55.83,40.75,
ST_DIGI_LIT_01,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 1)나는 한글이나 프리젠테이션 도구 또는 생성형 AI를 활용해서 문서를 만드는 데 능숙하다,likert,조건부,8884,0,3.2498,1.1447,3.0,3.0,4.0,,56.24,41.56,
ST_DIGI_LIT_01,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 1)나는 한글이나 프리젠테이션 도구 또는 생성형 AI를 활용해서 문서를 만드는 데 능숙하다,likert,조건부,5173,0,3.388,1.0885,3.0,3.0,4.0,,59.7,45.47,
ST_DIGI_LIT_02,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 2)나는 내가 만든 자료나 파일을 온라인 플랫폼에 올려서 잘 공유한다,likert,Y,8884,0,2.9871,1.2051,3.0,2.0,4.0,,49.68,34.33,
ST_DIGI_LIT_02,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 2)나는 내가 만든 자료나 파일을 온라인 플랫폼에 올려서 잘 공유한다,likert,Y,5173,0,2.9751,1.1916,3.0,2.0,4.0,,49.38,33.33,
ST_DIGI_LIT_03,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 3)나는 온라인 학습 공간에 올려둔 자료를 잘 내려 받아 활용한다,likert,Y,8884,0,3.4806,1.0816,4.0,3.0,4.0,,62.02,52.17,
ST_DIGI_LIT_03,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 3)나는 온라인 학습 공간에 올려둔 자료를 잘 내려 받아 활용한다,likert,Y,5173,0,3.4442,1.0483,3.0,3.0,4.0,,61.11,49.47,
ST_DIGI_LIT_04,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 4)나는 필요한 정보를 찾기 위해 다양한 검색엔진이나 AI 도구를 활용할 수 있다,likert,조건부,8884,0,3.6892,0.9974,4.0,3.0,4.0,,67.23,60.2,
ST_DIGI_LIT_04,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 4)나는 필요한 정보를 찾기 위해 다양한 검색엔진이나 AI 도구를 활용할 수 있다,likert,조건부,5173,0,3.7187,1.0015,4.0,3.0,4.0,,67.97,60.95,
ST_DIGI_LIT_05,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 5)나는 필요한 정보를 찾기 위해 관련된 키워드를 다양하게 생각해낼 수 있다,likert,Y,8884,0,3.5966,0.986,4.0,3.0,4.0,,64.91,54.66,
ST_DIGI_LIT_05,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 5)나는 필요한 정보를 찾기 위해 관련된 키워드를 다양하게 생각해낼 수 있다,likert,Y,5173,0,3.635,0.9633,4.0,3.0,4.0,,65.88,56.27,
ST_DIGI_LIT_06,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 6)과제를 해결하기 위해 필요한 정보를 다양하게 선택할 수 있다,likert,Y,8884,0,3.6443,0.9472,4.0,3.0,4.0,,66.11,57.41,
ST_DIGI_LIT_06,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 6)과제를 해결하기 위해 필요한 정보를 다양하게 선택할 수 있다,likert,Y,5173,0,3.6733,0.9236,4.0,3.0,4.0,,66.83,59.06,
ST_DIGI_LIT_07,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 7)나는 디지털 기기 사용 시간을 스스로 정한다,likert,조건부,8884,0,3.0508,1.1216,3.0,2.0,4.0,,51.27,33.82,
ST_DIGI_LIT_07,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 7)나는 디지털 기기 사용 시간을 스스로 정한다,likert,조건부,5173,0,3.1788,1.1305,3.0,2.0,4.0,,54.47,38.76,
ST_DIGI_LIT_08,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 8)나는 놀 때와 공부할 때를 구분해서 디지털 기기를 사용한다,likert,조건부,8884,0,3.2775,1.0518,3.0,3.0,4.0,,56.94,41.74,
ST_DIGI_LIT_08,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 8)나는 놀 때와 공부할 때를 구분해서 디지털 기기를 사용한다,likert,조건부,5173,0,3.3644,1.0539,3.0,3.0,4.0,,59.11,45.8,
ST_DIGI_LIT_09,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 9)나는 디지털 기기를 활용하여 정보를 얻을 때 나에게 필요한 정보를 골라 읽는다,likert,조건부,8884,0,3.6281,0.9411,4.0,3.0,4.0,,65.7,57.4,
ST_DIGI_LIT_09,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 9)나는 디지털 기기를 활용하여 정보를 얻을 때 나에게 필요한 정보를 골라 읽는다,likert,조건부,5173,0,3.6619,0.9206,4.0,3.0,4.0,,66.55,59.19,
ST_DIGI_LIT_10,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 10)나는 불법 사이트에 접속하지 않는다,likert,Y,8884,0,3.9605,1.1225,4.0,3.0,5.0,,74.01,69.1,
ST_DIGI_LIT_10,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 10)나는 불법 사이트에 접속하지 않는다,likert,Y,5173,0,4.1506,1.1017,5.0,4.0,5.0,,78.76,75.87,
ST_DIGI_LIT_11,2021,1주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 11)나는 온라인 공간에 있는 정보를 무단으로 사용하지 않는다,likert,Y,8884,0,3.8641,0.9811,4.0,3.0,5.0,,71.6,66.23,
ST_DIGI_LIT_11,2025,2주기,경기학교교육실태조사,중학교,C03,디지털 리터러시,S0301,디지털 리터러시,학생,디지털 리터러시 - 11)나는 온라인 공간에 있는 정보를 무단으로 사용하지 않는다,likert,Y,5173,0,3.994,0.9632,4.0,3.0,5.0,,74.85,72.26,
